TRIP_MILES,TRIP_MINUTES,ESTIMATED_MINUTES,TRIP_MILES_SQ,FARE
-1.0326085485224399,6.483333333333333,-1.3487288600728649,-0.6697689105406341,6.0
0.42707375993411106,26.7,0.39558179665629717,0.04854351561308679,30.75
-0.9885426675124308,7.0,-1.0617004065856999,-0.6661196711282882,6.75
0.8567160997816995,36.0,0.9000560482397988,0.4946630337723788,38.0
-0.4253256258532522,17.016666666666666,-0.12470669478875666,-0.5205881568776091,16.5
1.2725878518136604,53.95,1.2954120447785933,1.0281471856273592,44.25
-1.0215920782699377,4.966666666666667,-1.3487288600728649,-0.6689618672090576,6.0
-0.9513620804102357,10.616666666666667,-1.0617004065856999,-0.6621672422034682,9.0
-0.6993603233842463,11.983333333333333,-0.5754125308429825,-0.6143088050725952,11.75
-1.0436250187749423,4.0,-1.3487288600728649,-0.670505776191204,5.25
1.3249160855130462,39.0,1.4258795236363961,1.1023578902393631,44.75
-0.713130911199874,14.0,-0.5754125308429825,-0.6178725154362144,12.25
2.582170753079868,35.21666666666667,1.5895569062034571,3.361404306737028,81.38
-0.9541161979733612,8.733333333333333,-1.0617004065856999,-0.662487427873061,9.0
0.3100237635012745,19.883333333333333,0.4406523802617198,-0.054494316261798334,28.5
-1.0821826646587003,2.316666666666667,-1.3487288600728649,-0.6725321567302711,4.5
-0.9885426675124308,5.0,-1.0617004065856999,-0.6661196711282882,6.25
-0.7062456172920601,8.116666666666667,-0.5754125308429825,-0.6161043668327264,11.25
-0.8770009062058454,14.966666666666667,-0.7730905291123797,-0.651864281410679,11.29
-0.9568703155364868,7.05,-1.0617004065856999,-0.662803227437591,7.5
-1.0436250187749423,6.0,-1.3487288600728649,-0.670505776191204,6.0
-0.579556209388284,17.216666666666665,-0.36429242869126627,-0.578677732330866,14.68
-0.9017879642739755,6.583333333333333,-1.0617004065856999,-0.6556538761850382,9.01
-1.0160838431436865,5.0,-1.0617004065856999,-0.6685320289128919,6.0
-0.591949738422349,14.65,-0.36429242869126627,-0.5827485860923847,13.5
-0.1444056344144443,16.966666666666665,0.13622826292684784,-0.3794389098479156,21.0
1.779345483428765,57.7,1.537369914660336,1.8134003472513014,53.0
-1.0436250187749423,7.0,-1.3487288600728649,-0.670505776191204,6.25
-0.8370662015405246,11.0,-0.7730905291123797,-0.6450115405130058,9.25
-0.9196897284342916,21.0,-1.0617004065856999,-0.6581698557017532,11.25
-0.9623785506627379,6.25,-1.0617004065856999,-0.6634216682514621,7.0
-0.7998856144383294,10.883333333333333,-0.7730905291123797,-0.6378024285789708,10.18
0.3265484688800278,26.616666666666667,0.4406523802617198,-0.040428077325027414,30.0
-0.9968050202018076,6.85,-1.0617004065856999,-0.6668894325668299,6.75
-0.8921485528030358,6.0,-1.0617004065856999,-0.6542223611451291,7.75
0.4491067004391156,49.53333333333333,0.39558179665629717,0.06882486542400956,34.0
1.523212550058087,38.083333333333336,1.3444361883494043,1.397946282639385,48.5
0.8209125714610672,22.733333333333334,0.9000560482397988,0.45340952260312417,36.75
-1.0160838431436865,8.0,-1.0617004065856999,-0.6685320289128919,6.75
-0.9899197262939937,8.75,-1.0617004065856999,-0.6662507060170428,7.25
0.732780809441049,34.0,0.8004263371120227,0.3550204138317968,37.0
-0.9279520811236683,8.85,-1.0617004065856999,-0.6592685750200137,8.0
-1.0711661944061979,5.016666666666667,-1.3487288600728649,-0.6720409129632245,5.25
1.3882607894649344,52.93333333333333,1.4258795236363961,1.1943103898308616,48.75
-0.25870151328415536,13.0,0.09432052729373552,-0.44237348660629583,18.5
-1.0160838431436865,6.783333333333333,-1.0617004065856999,-0.6685320289128919,6.5
-0.9775261972599285,7.3,-1.0617004065856999,-0.665031917072685,6.75
1.68295136871937,45.0,1.568207682390362,1.6525947703821509,50.5
-1.0422479599933794,3.566666666666667,-1.3487288600728649,-0.6704175058268128,5.0
1.243669617400842,62.93333333333333,1.2954120447785933,0.9878153047844497,45.25
-0.8508367893561524,13.0,-0.7730905291123797,-0.647478724610896,9.75
-0.9059191406186639,21.0,-1.0617004065856999,-0.6562509347367277,12.0
-0.2986362179494761,43.63333333333333,0.09432052729373552,-0.46258191742054755,27.0
0.2976302344672092,30.366666666666667,0.4406523802617198,-0.06494037373226531,29.5
-0.974772079696803,10.266666666666667,-1.0617004065856999,-0.664749013296127,8.0
