Eccentricity,Major_Axis_Length,Area,Class,Class_Bool
-1.285694200211245,-1.0827901314653032,-0.7421793621221416,Osmancik,0
-0.4550654842681014,-0.7995428208297036,-0.6902273431111459,Osmancik,0
0.05044621855899719,-1.2157195535296619,-1.525500359876823,Osmancik,0
-0.45118014827989095,-0.9933423696132659,-1.0371513811734625,Osmancik,0
-1.7446763561373941,-1.175949251789302,-0.6573243977375152,Osmancik,0
0.868385318363777,1.307114845554887,1.1390609707315849,Cammeo,1
1.2023810543239173,-0.040425721581475206,-0.765269148349251,Osmancik,0
0.6944986380124805,0.6462857821437742,0.46830268083406107,Cammeo,1
-0.23585465602185574,1.0030160666335624,1.6660853413653538,Cammeo,1
-1.4651383139841072,-1.3933339414747838,-1.0671681032687044,Osmancik,0
0.10121899901524249,0.37423638508801604,0.49196971171684806,Cammeo,1
-0.05708911603613991,-0.7791154828123683,-0.9165072481368166,Osmancik,0
-1.1761975869485144,0.6178384468253247,1.7243870515888047,Cammeo,1
-0.36131636395686145,-0.9012090323918807,-0.919970716070883,Osmancik,0
0.8101310471652474,2.0933649135373735,2.462682966200623,Cammeo,1
0.9489953031923365,2.022487061475845,2.1654019685265915,Cammeo,1
0.18434285635498301,-1.5158306334330904,-1.9734422126827427,Osmancik,0
-0.5018813492226882,-0.5051325764301227,-0.33406739055798557,Osmancik,0
-1.5799461271423378,-1.659776074034312,-1.3038384120965743,Osmancik,0
-1.2639597967576073,-0.8679668388025529,-0.44951632169353184,Osmancik,0
-0.4236019933509487,-0.0253249350374029,0.2558766475446559,Osmancik,0
2.2187357021373497,-0.03372971031389868,-1.5930379845911178,Cammeo,1
0.545335521595149,1.1171228497370886,1.2487374553103538,Cammeo,1
0.9726222689806668,1.7491355407714828,1.8121282392518199,Cammeo,1
-1.8729754759842905,-0.8250947018831801,-0.0696893382575846,Osmancik,0
-1.9180677062558091,-1.9815615223935608,-1.7252270107413183,Osmancik,0
0.4914275584512824,1.0497351088116498,1.1846632985301258,Cammeo,1
-0.5313205715004468,-0.5489858971867853,-0.3421488157374738,Osmancik,0
0.8049171954080252,1.3326125078936402,1.3041529422554161,Cammeo,1
1.0161168445127722,0.49301822059277967,-0.044867818063442144,Osmancik,0
1.0123259934822921,1.2304268460646663,0.9785869564531756,Cammeo,1
-0.7237606617291468,-1.144981620731917,-1.0331106685837184,Osmancik,0
0.2459871333088468,1.5320910297961179,2.073042823618154,Cammeo,1
-0.6812825152875329,-1.5302353216398121,-1.586111048722985,Osmancik,0
-0.09236922660865034,0.2217891002209871,0.41404168320035434,Cammeo,1
1.126211862507703,1.6670335402681444,1.53216458124812,Cammeo,1
-1.0600526684796836,-0.5587863671196164,-0.12452758054696908,Osmancik,0
-0.26909904523278816,-0.17629344818527745,-0.04659955203047534,Osmancik,0
0.12061991033151825,-0.22627523269576091,-0.3519619748839953,Osmancik,0
-1.366427301802912,-1.3121790194882152,-1.014638839602031,Osmancik,0
0.4061649052506821,-0.2983738803338066,-0.5649652528290782,Osmancik,0
-0.5450781539790148,0.5426021096968966,1.2343063389184106,Cammeo,1
0.6601147029479971,1.3738983101598623,1.560449569376329,Cammeo,1
1.0793244180396737,1.0949552658764383,0.7217130846765851,Cammeo,1
0.6388870824493341,-0.6882632813500449,-1.2663175094775219,Osmancik,0
0.9176864240241677,0.723415401810345,0.38113873782672364,Cammeo,1
0.7660523828036728,0.5800270147780253,0.21431503233585925,Cammeo,1
0.6695803778021092,0.4653999069122483,0.18660728886332814,Cammeo,1
-0.9021826200504232,-0.8745386717235113,-0.6134538039060076,Osmancik,0
-0.49572837424946387,-1.135473232262304,-1.1202746115910558,Osmancik,0
-0.16566378516609884,-0.14303813716496644,-0.0015744688876122889,Osmancik,0
1.0172392112831405,1.37017820673395,1.1765818733506375,Cammeo,1
1.8064405680416387,0.8787231611264263,-0.18687000336016407,Cammeo,1
-0.05446357948404061,-0.1716498776183788,-0.1689754190341544,Cammeo,1
-1.38604867802052,-0.7556588927340406,-0.23131784184734938,Osmancik,0
